0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:00:25 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:00:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:00:40 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:00 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:00 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:02 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:02 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:31 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:05:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:06:18 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:12:24 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:12:47 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:12:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:15 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:15 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:19 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
